genre_ids,id,original_language,original_title,popularity,release_date,title,vote_average,vote_count,genre_name
10751,38575,en,The Karate Kid,12.255999999999998,2010-06-10,The Karate Kid,6.3,3140,Family
35,33217,en,Diary of a Wimpy Kid,12.255999999999998,2010-03-19,Diary of a Wimpy Kid,6.0,736,Comedy
10751,33217,en,Diary of a Wimpy Kid,12.255999999999998,2010-03-19,Diary of a Wimpy Kid,6.0,736,Family
9648,29427,en,The Crazies,12.246,2010-02-26,The Crazies,6.2,1036,Mystery
27,29427,en,The Crazies,12.246,2010-02-26,The Crazies,6.2,1036,Horror
28,29427,en,The Crazies,12.246,2010-02-26,The Crazies,6.2,1036,Action
28,33613,sv,Luftslottet som sprängdes,12.235,2010-10-29,The Girl Who Kicked the Hornet's Nest,7.0,705,Action
53,33613,sv,Luftslottet som sprängdes,12.235,2010-10-29,The Girl Who Kicked the Hornet's Nest,7.0,705,Thriller
80,33613,sv,Luftslottet som sprängdes,12.235,2010-10-29,The Girl Who Kicked the Hornet's Nest,7.0,705,Crime
9648,33613,sv,Luftslottet som sprängdes,12.235,2010-10-29,The Girl Who Kicked the Hornet's Nest,7.0,705,Mystery
35,39451,en,Little Fockers,12.153,2010-12-21,Little Fockers,5.6,1883,Comedy
10749,39451,en,Little Fockers,12.153,2010-12-21,Little Fockers,5.6,1883,Romance
28,39514,en,RED,12.082,2010-10-14,RED,6.6,4162,Action
12,39514,en,RED,12.082,2010-10-14,RED,6.6,4162,Adventure
35,39514,en,RED,12.082,2010-10-14,RED,6.6,4162,Comedy
80,39514,en,RED,12.082,2010-10-14,RED,6.6,4162,Crime
53,39514,en,RED,12.082,2010-10-14,RED,6.6,4162,Thriller
18,22971,en,Dear John,12.048,2010-02-04,Dear John,6.8,2676,Drama
10749,22971,en,Dear John,12.048,2010-02-04,Dear John,6.8,2676,Romance
10752,22971,en,Dear John,12.048,2010-02-04,Dear John,6.8,2676,War
27,22894,en,Legion,12.032,2010-01-22,Legion,5.3,1154,Horror
12,37933,ja,ゲド戦記,12.005,2010-08-13,Tales from Earthsea,6.6,502,Adventure
14,37933,ja,ゲド戦記,12.005,2010-08-13,Tales from Earthsea,6.6,502,Fantasy
16,37933,ja,ゲド戦記,12.005,2010-08-13,Tales from Earthsea,6.6,502,Animation
878,37933,ja,ゲド戦記,12.005,2010-08-13,Tales from Earthsea,6.6,502,Science Fiction
10749,25195,en,Leap Year,11.821,2010-01-08,Leap Year,6.7,990,Romance
35,25195,en,Leap Year,11.821,2010-01-08,Leap Year,6.7,990,Comedy
35,38408,en,Life As We Know It,11.806,2010-10-02,Life As We Know It,6.8,1748,Comedy
10749,38408,en,Life As We Know It,11.806,2010-10-02,Life As We Know It,6.8,1748,Romance
18,38408,en,Life As We Know It,11.806,2010-10-02,Life As We Know It,6.8,1748,Drama
18,24253,sv,Flickan som lekte med elden,11.655,2010-07-09,The Girl Who Played with Fire,7.0,881,Drama
28,24253,sv,Flickan som lekte med elden,11.655,2010-07-09,The Girl Who Played with Fire,7.0,881,Action
53,24253,sv,Flickan som lekte med elden,11.655,2010-07-09,The Girl Who Played with Fire,7.0,881,Thriller
80,24253,sv,Flickan som lekte med elden,11.655,2010-07-09,The Girl Who Played with Fire,7.0,881,Crime
9648,24253,sv,Flickan som lekte med elden,11.655,2010-07-09,The Girl Who Played with Fire,7.0,881,Mystery
18,38363,en,Fair Game,11.624,2010-05-20,Fair Game,6.6,384,Drama
53,38363,en,Fair Game,11.624,2010-05-20,Fair Game,6.6,384,Thriller
35,44244,en,Camp Rock 2: The Final Jam,11.542,2010-09-03,Camp Rock 2: The Final Jam,6.1,878,Comedy
10402,44244,en,Camp Rock 2: The Final Jam,11.542,2010-09-03,Camp Rock 2: The Final Jam,6.1,878,Music
10770,44244,en,Camp Rock 2: The Final Jam,11.542,2010-09-03,Camp Rock 2: The Final Jam,6.1,878,TV Movie
10752,22972,en,Green Zone,11.519,2010-03-11,Green Zone,6.4,1176,War
28,22972,en,Green Zone,11.519,2010-03-11,Green Zone,6.4,1176,Action
12,22972,en,Green Zone,11.519,2010-03-11,Green Zone,6.4,1176,Adventure
18,22972,en,Green Zone,11.519,2010-03-11,Green Zone,6.4,1176,Drama
53,22972,en,Green Zone,11.519,2010-03-11,Green Zone,6.4,1176,Thriller
28,30061,en,Justice League: Crisis on Two Earths,11.498,2010-02-23,Justice League: Crisis on Two Earths,7.2,277,Action
12,30061,en,Justice League: Crisis on Two Earths,11.498,2010-02-23,Justice League: Crisis on Two Earths,7.2,277,Adventure
